,Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb,Player-additional
36,46,Parris Campbell,IND,25,WR,17,16,91,63,69.2%,623,9.9,3,32,54.9,49,6.8,3.7,36.6,1,CampPa00
37,48,D.J. Moore,CAR,25,WR,17,17,118,63,53.4%,888,14.1,7,44,43.2,62,7.5,3.7,52.2,0,MoorD.00
38,49,Mike Williams,LAC,28,WR,13,13,93,63,67.7%,895,14.2,4,39,59.1,55,9.6,4.8,68.8,0,WillMi07
39,50,Donovan Peoples-Jones,CLE,23,WR,17,14,96,61,63.5%,839,13.8,3,33,50.0,42,8.7,3.6,49.4,1,PeopDo00
40,52,Allen Lazard,GNB,27,WR,15,15,100,60,60.0%,788,13.1,6,45,55.0,47,7.9,4.0,52.5,0,LazaAl00
41,54,K.J. Osborn,MIN,25,WR,17,9,90,60,66.7%,650,10.8,5,32,58.9,66,7.2,3.5,38.2,1,OsboKJ00
42,56,Tyler Boyd,CIN,28,WR,16,14,82,58,70.7%,762,13.1,5,42,62.2,60,9.3,3.6,47.6,0,BoydTy00
43,61,Brandin Cooks,HOU,29,WR,13,13,93,57,61.3%,699,12.3,3,29,47.3,44,7.5,4.4,53.8,0,CookBr00
44,62,Mack Hollins,LVR,29,WR,17,16,94,57,60.6%,690,12.1,4,34,51.1,60,7.3,3.4,40.6,0,HollMa00
45,63,Richie James,NYG,27,WR,17,4,70,57,81.4%,569,10.0,4,29,61.4,33,8.1,3.4,33.5,3,JameRi00
46,67,Deebo Samuel,SFO,26,WR,13,12,94,56,59.6%,632,11.3,2,25,47.9,57,6.7,4.3,48.6,3,SamuDe00
47,71,Robert Woods,TEN,30,WR,17,15,91,53,58.2%,527,9.9,2,31,50.5,41,5.8,3.1,31.0,1,WoodRo02
48,72,Greg Dortch,ARI,24,WR,16,4,64,52,81.3%,467,9.0,2,19,46.9,47,7.3,3.3,29.2,1,DortGr01
49,74,George Pickens,PIT,21,WR,17,12,84,52,61.9%,801,15.4,4,38,48.8,42,9.5,3.1,47.1,0,PickGe00
50,75,Russell Gage,TAM,26,WR,13,4,70,51,72.9%,426,8.4,5,31,62.9,23,6.1,3.9,32.8,1,GageRu00
51,79,Gabriel Davis,BUF,23,WR,15,15,93,48,51.6%,836,17.4,7,35,51.6,98,9.0,3.2,55.7,1,DaviGa01
52,81,Chris Moore,HOU,29,WR,16,7,74,48,64.9%,548,11.4,2,24,47.3,52,7.4,3.0,34.3,0,MoorCh00
53,82,Demarcus Robinson,BAL,28,WR,17,5,75,48,64.0%,458,9.5,2,23,46.7,31,6.1,2.8,26.9,2,RobiDe01
54,85,Kalif Raymond,DET,28,WR,17,7,64,47,73.4%,616,13.1,0,24,56.3,56,9.6,2.8,36.2,3,RaymKa00
55,86,DeAndre Carter,LAC,29,WR,17,7,65,46,70.8%,538,11.7,3,29,53.8,35,8.3,2.7,31.6,3,CartDe02
56,87,Chase Claypool,2TM,24,WR,15,11,79,46,58.2%,451,9.8,1,24,46.8,31,5.7,3.1,30.1,1,ClayCh01
57,90,Marvin Jones,JAX,32,WR,16,10,81,46,56.8%,529,11.5,3,29,51.9,37,6.5,2.9,33.1,0,JoneMa02
58,91,Darius Slayton,NYG,25,WR,16,11,71,46,64.8%,724,15.7,2,30,57.7,55,10.2,2.9,45.3,2,SlayDa01
59,92,Noah Brown,DAL,26,WR,16,13,74,43,58.1%,555,12.9,3,25,48.6,51,7.5,2.7,34.7,1,BrowNo00
60,93,Romeo Doubs,GNB,22,WR,13,7,67,42,62.7%,425,10.1,3,20,46.3,26,6.3,3.2,32.7,2,DoubRo00
61,95,Isaiah McKenzie,BUF,27,WR,15,8,65,42,64.6%,423,10.1,4,27,58.5,30,6.5,2.8,28.2,0,McKeIs00
62,97,Marquez Valdes-Scantling,KAN,28,WR,17,11,81,42,51.9%,687,16.4,2,32,48.1,57,8.5,2.5,40.4,0,ValdMa00
63,102,Rondale Moore,ARI,22,WR,8,8,56,41,73.2%,414,10.1,1,16,46.4,38,7.4,5.1,51.8,0,MoorRo02
64,103,Alec Pierce,IND,22,WR,16,12,78,41,52.6%,593,14.5,2,28,46.2,47,7.6,2.6,37.1,1,PierAl00
65,104,Christian Watson,GNB,23,WR,14,11,66,41,62.1%,611,14.9,7,28,50.0,63,9.3,2.9,43.6,0,WatsCh00
66,105,Darnell Mooney,CHI,25,WR,12,12,61,40,65.6%,493,12.3,2,20,45.9,56,8.1,3.3,41.1,0,MoonDa00
67,106,Olamide Zaccheaus,ATL,25,WR,17,13,61,40,65.6%,533,13.3,3,25,52.5,45,8.7,2.4,31.4,1,ZaccOl01
68,108,Michael Gallup,DAL,26,WR,14,11,74,39,52.7%,424,10.9,4,25,44.6,27,5.7,2.8,30.3,0,GallMi00
69,110,Ben Skowronek,LAR,25,WR,14,11,61,39,63.9%,376,9.6,0,16,49.2,32,6.2,2.8,26.9,0,SkowBe00
70,113,Josh Reynolds,DET,27,WR,14,11,59,38,64.4%,479,12.6,3,25,61.0,31,8.1,2.7,34.2,0,ReynJo00
71,117,Nico Collins,HOU,23,WR,10,7,66,37,56.1%,481,13.0,2,21,42.4,58,7.3,3.7,48.1,0,CollNi00
72,118,Devin Duvernay*,BAL,25,WR,14,13,49,37,75.5%,407,11.0,3,19,59.2,31,8.3,2.6,29.1,1,DuveDe00
73,119,Isaiah Hodgins,2TM,24,WR,10,5,48,37,77.1%,392,10.6,4,24,62.5,29,8.2,3.7,39.2,1,HodgIs00
74,120,Elijah Moore,NYJ,22,WR,16,9,65,37,56.9%,446,12.1,1,22,44.6,42,6.9,2.3,27.9,1,MoorEl00
75,122,Hunter Renfrow,LVR,27,WR,10,1,50,36,72.0%,330,9.2,2,18,52.0,27,6.6,3.6,33.0,3,RenfHu00
76,123,Kendrick Bourne,NWE,27,WR,16,2,48,35,72.9%,434,12.4,1,22,54.2,41,9.0,2.2,27.1,2,BourKe00
77,124,Jahan Dotson,WAS,22,WR,12,10,61,35,57.4%,523,14.9,7,26,50.8,61,8.6,2.9,43.6,0,DotsJa00
78,127,Jauan Jennings,SFO,25,WR,16,4,56,35,62.5%,416,11.9,1,23,55.4,44,7.4,2.2,26.0,1,JennJa00
79,128,Randall Cobb,GNB,32,WR,13,3,50,34,68.0%,417,12.3,1,19,56.0,40,8.3,2.6,32.1,1,CobbRa00
80,131,Treylon Burks,TEN,22,WR,11,6,54,33,61.1%,444,13.5,1,19,50.0,51,8.2,3.0,40.4,0,BurkTr00
81,135,Allen Robinson,LAR,29,WR,10,10,52,33,63.5%,339,10.3,3,23,53.8,29,6.5,3.3,33.9,0,RobiAl02
82,136,Quez Watkins,PHI,24,WR,17,8,51,33,64.7%,354,10.7,3,13,37.3,53,6.9,1.9,20.8,1,WatkQu00
83,137,Corey Davis,NYJ,27,WR,13,10,64,32,50.0%,536,16.8,2,28,48.4,66,8.4,2.5,41.2,0,DaviCo03
84,140,Nelson Agholor,NWE,29,WR,16,7,53,31,58.5%,362,11.7,2,12,37.7,44,6.8,1.9,22.6,2,AghoNe00
85,144,DeVante Parker,NWE,29,WR,13,11,47,31,66.0%,539,17.4,3,25,59.6,43,11.5,2.4,41.5,0,ParkDe01
86,146,DJ Chark,DET,26,WR,11,10,52,30,57.7%,502,16.7,3,24,51.9,51,9.7,2.7,45.6,0,CharDJ00
87,150,Trent Sherfield,MIA,26,WR,17,4,51,30,58.8%,417,13.9,2,18,45.1,75,8.2,1.8,24.5,0,SherTr00
88,154,Terrace Marshall Jr.,CAR,22,WR,14,9,47,28,59.6%,490,17.5,1,24,53.2,43,10.4,2.0,35.0,2,MarsTe00
89,156,Rashid Shaheed,NOR,24,WR,12,6,34,28,82.4%,488,17.4,2,18,70.6,68,14.4,2.3,40.7,1,ShahRa00
90,161,Marquise Goodwin,SEA,32,WR,13,2,42,27,64.3%,387,14.3,4,18,54.8,38,9.2,2.1,29.8,0,GoodMa00
91,164,Laviska Shenault Jr.,CAR,24,WR,13,4,32,27,84.4%,272,10.1,1,10,50.0,67,8.5,2.1,20.9,0,ShenLa00
92,170,Mecole Hardman,KAN,24,WR,8,5,34,25,73.5%,297,11.9,4,14,61.8,36,8.7,3.1,37.1,1,HardMe00
93,171,Jarvis Landry,NOR,30,WR,9,3,39,25,64.1%,272,10.9,1,12,48.7,40,7.0,2.8,30.2,1,LandJa00
94,174,Nick Westbrook-Ikhine,TEN,25,WR,17,13,50,25,50.0%,397,15.9,3,18,40.0,63,7.9,1.5,23.4,0,WestNi00
95,176,David Bell,CLE,22,WR,16,3,35,24,68.6%,214,8.9,0,7,40.0,20,6.1,1.5,13.4,0,BellDa02
96,177,A.J. Green,ARI,34,WR,15,10,47,24,51.1%,236,9.8,2,11,36.2,77,5.0,1.6,15.7,0,GreeA.00
97,178,Kendall Hinton,DEN,25,WR,12,5,33,24,72.7%,311,13.0,0,14,54.5,35,9.4,2.0,25.9,0,HintKe00
98,179,Van Jefferson,LAR,26,WR,11,9,44,24,54.5%,369,15.4,3,20,50.0,39,8.4,2.2,33.5,0,JeffVa00
99,180,Julio Jones,TAM,33,WR,10,5,43,24,55.8%,299,12.5,2,13,41.9,48,7.0,2.4,29.9,0,JoneJu02
100,181,Brandon Powell,LAR,27,WR,17,6,32,24,75.0%,156,6.5,0,7,40.6,16,4.9,1.4,9.2,1,PoweBr00
101,182,Jamal Agnew*,JAX,27,WR,15,0,30,23,76.7%,187,8.1,3,9,53.3,24,6.2,1.5,12.5,0,AgneJa00
102,184,Scott Miller,TAM,25,WR,15,1,40,23,57.5%,185,8.0,0,8,47.5,23,4.6,1.5,12.3,0,MillSc01
103,185,Wan'Dale Robinson,NYG,21,WR,6,3,31,23,74.2%,227,9.9,1,13,61.3,19,7.3,3.8,37.8,0,RobiWa01
104,186,Skyy Moore,KAN,22,WR,16,3,33,22,66.7%,250,11.4,0,13,63.6,30,7.6,1.4,15.6,3,MoorSk01
105,187,Shi Smith,CAR,24,WR,17,6,41,22,53.7%,296,13.5,2,14,41.5,38,7.2,1.3,17.4,4,SmitSh03
106,188,Tyquan Thornton,NWE,22,WR,13,9,45,22,48.9%,247,11.2,2,13,40.0,29,5.5,1.7,19.0,0,ThorTy00
107,193,Equanimeous St. Brown,CHI,26,WR,16,16,38,21,55.3%,323,15.4,1,14,44.7,56,8.5,1.3,20.2,1,St.BEq00
108,198,Robbie Chosen,2TM,29,WR,16,7,44,20,45.5%,282,14.1,1,10,34.1,75,6.4,1.3,17.6,1,AndeRo04
109,199,Phillip Dorsett,HOU,29,WR,15,4,40,20,50.0%,257,12.9,1,11,42.5,34,6.4,1.3,17.1,0,DorsPh00
110,209,Dante Pettis,CHI,27,WR,17,7,41,19,46.3%,245,12.9,3,9,31.7,51,6.0,1.1,14.4,1,PettDa00
111,210,Tre'Quan Smith,NOR,26,WR,15,6,27,19,70.4%,278,14.6,1,14,66.7,48,10.3,1.3,18.5,0,SmitTr03
112,212,Tutu Atwell,LAR,23,WR,13,4,35,18,51.4%,298,16.6,1,11,40.0,62,8.5,1.4,22.9,0,AtweTu00
113,213,Braxton Berrios,NYJ,27,WR,17,2,32,18,56.3%,145,8.1,0,8,34.4,25,4.5,1.1,8.5,1,BerrBr00
114,224,Marquez Callaway,NOR,24,WR,14,3,32,16,50.0%,158,9.9,1,11,43.8,33,4.9,1.1,11.3,0,CallMa01
115,230,Michael Thomas,NOR,29,WR,3,3,22,16,72.7%,171,10.7,3,13,72.7,21,7.8,5.3,57.0,0,ThomMi05
116,231,Kadarius Toney,2TM,23,WR,9,4,20,16,80.0%,171,10.7,2,8,55.0,38,8.6,1.8,19.0,1,ToneKa00
117,234,Rashod Bateman,BAL,23,WR,6,5,28,15,53.6%,285,19.0,2,7,42.9,75,10.2,2.5,47.5,1,BateRa00
118,235,Ashton Dulin,IND,25,WR,12,2,22,15,68.2%,207,13.8,1,12,63.6,39,9.4,1.3,17.3,0,DuliAs00
119,237,Trenton Irwin,CIN,27,WR,9,2,23,15,65.2%,231,15.4,4,12,65.2,45,10.0,1.7,25.7,0,IrwiTr00
120,239,Zach Pascal,PHI,28,WR,17,2,19,15,78.9%,150,10.0,1,9,63.2,34,7.9,0.9,8.8,0,PascZa00
121,242,Justin Watson,KAN,26,WR,17,5,34,15,44.1%,315,21.0,2,12,44.1,67,9.3,0.9,18.5,0,WatsJu01
122,247,Ray-Ray McCloud,SFO,26,WR,17,2,25,14,56.0%,243,17.4,1,11,52.0,42,9.7,0.8,14.3,2,McClRa00
123,249,Steven Sims,PIT,25,WR,12,2,23,14,60.9%,104,7.4,0,5,43.5,28,4.5,1.2,8.7,3,SimsSt00
124,251,Damiere Byrd,ATL,29,WR,14,4,23,13,56.5%,268,20.6,2,9,47.8,75,11.7,0.9,19.1,0,ByrdDa00
125,254,KhaDarel Hodge,ATL,27,WR,17,1,20,13,65.0%,202,15.5,1,7,55.0,39,10.1,0.8,11.9,0,HodgKh00
126,257,Sterling Shepard,NYG,29,WR,3,2,24,13,54.2%,154,11.8,1,4,29.2,65,6.4,4.3,51.3,0,ShepSt00
127,266,Cedrick Wilson Jr.,MIA,27,WR,15,0,18,12,66.7%,136,11.3,0,8,61.1,21,7.6,0.8,9.1,0,WilsCe01
128,269,Denzel Mims,NYJ,25,WR,10,4,25,11,44.0%,186,16.9,0,7,36.0,63,7.4,1.1,18.6,0,MimsDe00
129,274,David Sills,NYG,26,WR,9,5,17,11,64.7%,106,9.6,0,7,52.9,24,6.2,1.2,11.8,0,SillDa01
130,277,Michael Bandy,LAC,25,WR,10,2,21,10,47.6%,89,8.9,0,5,33.3,25,4.2,1.0,8.9,0,BandMi00
131,279,Keelan Cole,LVR,29,WR,14,3,21,10,47.6%,141,14.1,1,8,47.6,30,6.7,0.7,10.1,1,ColeKe00
132,286,Byron Pringle,CHI,29,WR,11,4,16,10,62.5%,135,13.5,2,8,56.3,35,8.4,0.9,12.3,0,PrinBy00
133,287,Khalil Shakir,BUF,22,WR,14,2,20,10,50.0%,161,16.1,1,7,40.0,31,8.1,0.7,11.5,0,ShakKh00
134,291,River Cracraft,MIA,28,WR,11,0,14,9,64.3%,102,11.3,2,8,57.1,22,7.3,0.8,9.3,0,CracRi00
135,297,DeSean Jackson,BAL,36,WR,7,1,17,9,52.9%,153,17.0,0,5,47.1,62,9.0,1.3,21.9,0,JackDe00
136,298,Marcus Johnson,NYG,28,WR,14,7,22,9,40.9%,99,11.0,0,6,36.4,18,4.5,0.6,7.1,0,JohnMa07
137,300,Jalen Nailor,MIN,23,WR,15,0,13,9,69.2%,179,19.9,1,7,69.2,47,13.8,0.6,11.9,0,NailJa00
138,301,Breshad Perriman,TAM,29,WR,11,3,19,9,47.4%,110,12.2,1,5,31.6,28,5.8,0.8,10.0,2,PerrBr02
139,307,Tom Kennedy,DET,26,WR,7,1,15,8,53.3%,141,17.6,0,7,53.3,44,9.4,1.1,20.1,0,KennTo01
140,310,Kyle Philips,TEN,23,WR,4,0,13,8,61.5%,78,9.8,0,3,38.5,21,6.0,2.0,19.5,2,PhilKy01
141,311,James Proche,BAL,26,WR,15,0,17,8,47.1%,62,7.8,0,3,41.2,12,3.6,0.5,4.1,0,ProcJa00
142,312,Jalen Reagor,MIN,23,WR,17,0,13,8,61.5%,104,13.0,1,5,53.8,38,8.0,0.5,6.1,4,ReagJa00
143,314,Cam Sims,WAS,26,WR,17,3,18,8,44.4%,89,11.1,0,5,33.3,21,4.9,0.5,5.2,0,SimsCa00
144,315,Jeff Smith,NYJ,25,WR,11,0,11,8,72.7%,134,16.8,0,5,63.6,50,12.2,0.7,12.2,0,SmitJe03
145,316,Andre Baccellia,ARI,25,WR,8,0,10,7,70.0%,45,6.4,0,4,50.0,11,4.5,0.9,5.6,0,BaccAn00
146,318,D'Wayne Eskridge,SEA,25,WR,10,0,13,7,53.8%,58,8.3,0,4,30.8,16,4.5,0.7,5.8,0,EskrDW00
147,319,KJ Hamler,DEN,23,WR,7,0,14,7,50.0%,165,23.6,0,3,35.7,55,11.8,1.0,23.6,0,HamlKJ00
148,320,N'Keal Harry,CHI,25,WR,7,0,9,7,77.8%,116,16.6,1,4,77.8,49,12.9,1.0,16.6,0,HarrNK00
149,321,T.Y. Hilton,DAL,33,WR,3,0,10,7,70.0%,121,17.3,0,5,60.0,52,12.1,2.3,40.3,0,HiltT.00
150,323,Velus Jones Jr.,CHI,25,WR,12,2,14,7,50.0%,107,15.3,1,4,28.6,44,7.6,0.6,8.9,3,JoneVe00
151,330,Jamison Crowder,BUF,29,WR,4,0,13,6,46.2%,60,10.0,0,4,46.2,16,4.6,1.5,15.0,1,CrowJa00
152,333,Kenny Golladay,NYG,29,WR,12,4,17,6,35.3%,81,13.5,1,4,35.3,25,4.8,0.5,6.8,0,GollKe00
153,334,Brandon Johnson,DEN,24,WR,7,1,14,6,42.9%,42,7.0,1,2,21.4,12,3.0,0.9,6.0,1,JohnBr23
154,338,Dax Milne,WAS,23,WR,15,1,7,6,85.7%,37,6.2,1,2,85.7,12,5.3,0.4,2.5,1,MilnDa00
155,339,Trent Taylor,CIN,28,WR,16,1,10,6,60.0%,62,10.3,0,1,30.0,34,6.2,0.4,3.9,2,TaylTr02
156,340,Laquon Treadwell,SEA,27,WR,6,0,10,6,60.0%,42,7.0,0,3,30.0,17,4.2,1.0,7.0,0,TreaLa00
157,345,Dyami Brown,WAS,23,WR,15,0,14,5,35.7%,143,28.6,2,5,35.7,75,10.2,0.3,9.5,0,BrowDy00
158,354,Gunner Olszewski,PIT,26,WR,16,2,7,5,71.4%,53,10.6,0,1,42.9,31,7.6,0.3,3.3,2,OlszGu00
159,358,Deven Thompkins,TAM,23,WR,5,1,10,5,50.0%,32,6.4,0,1,20.0,13,3.2,1.0,6.4,1,ThomDe07
160,359,Samori Toure,GNB,24,WR,11,2,10,5,50.0%,82,16.4,1,2,30.0,37,8.2,0.5,7.5,1,TourSa00
161,361,Michael Woods II,CLE,22,WR,10,0,10,5,50.0%,45,9.0,0,3,40.0,15,4.5,0.5,4.5,0,WoodMi00
162,362,Chris Conley,2TM,30,WR,9,1,7,4,57.1%,46,11.5,0,2,57.1,27,6.6,0.4,5.1,0,ConlCh00
163,372,Jake Kumerow,BUF,30,WR,6,1,7,4,57.1%,64,16.0,0,4,57.1,39,9.1,0.7,10.7,0,KumeJa00
164,374,Anthony Schwartz,CLE,22,WR,11,1,10,4,40.0%,51,12.8,0,2,30.0,19,5.1,0.4,4.6,1,SchwAn00
165,377,Tylan Wallace,BAL,23,WR,9,0,7,4,57.1%,33,8.3,0,1,42.9,12,4.7,0.4,3.7,0,WallTy00
166,378,Montrell Washington,DEN,23,WR,15,1,9,4,44.4%,2,0.5,0,0,0.0,4,0.2,0.3,0.1,5,WashMo00
167,384,Bryan Edwards,ATL,24,WR,7,1,5,3,60.0%,15,5.0,0,0,20.0,10,3.0,0.4,2.1,0,EdwaBr01
168,387,Simi Fehoko,DAL,25,WR,5,0,4,3,75.0%,24,8.0,0,1,50.0,12,6.0,0.6,4.8,0,FehoSi00
169,388,Penny Hart,SEA,26,WR,9,0,4,3,75.0%,20,6.7,0,1,25.0,15,5.0,0.3,2.2,0,HartPe01
170,389,Cody Hollister,TEN,29,WR,11,3,5,3,60.0%,54,18.0,0,2,40.0,27,10.8,0.3,4.9,0,HollCo00
171,392,Tim Jones,JAX,24,WR,17,1,4,3,75.0%,30,10.0,0,1,75.0,20,7.5,0.2,1.8,0,JoneTi00
172,394,Ty Montgomery,NWE,29,WR,1,0,4,3,75.0%,15,5.0,1,1,25.0,7,3.8,3.0,15.0,0,MontTy01
173,398,Mike Strachan,IND,25,WR,13,0,9,3,33.3%,59,19.7,0,3,33.3,23,6.6,0.2,4.5,0,StraMi03
174,402,Daylen Baldwin,CLE,23,WR,1,0,2,2,100.0%,25,12.5,0,2,100.0,15,12.5,2.0,25.0,0,BaldDa01
175,406,Miles Boykin,PIT,26,WR,16,1,3,2,66.7%,11,5.5,0,1,33.3,11,3.7,0.1,0.7,0,BoykMi00
176,409,Quintez Cephus,DET,24,WR,4,1,3,2,66.7%,15,7.5,0,1,66.7,9,5.0,0.5,3.8,0,CephQu00
177,410,Tyrie Cleveland,DEN,25,WR,6,0,7,2,28.6%,28,14.0,0,1,28.6,16,4.0,0.3,4.7,0,ClevTy00
178,411,Pharoh Cooper,ARI,27,WR,5,1,2,2,100.0%,6,3.0,0,0,0.0,3,3.0,0.4,1.2,0,CoopPh00
179,416,Jalen Guyton,LAC,25,WR,3,0,4,2,50.0%,64,32.0,0,2,50.0,54,16.0,0.7,21.3,0,GuytJa01
180,417,Deonte Harty,NOR,25,WR,4,0,2,2,100.0%,13,6.5,0,0,50.0,9,6.5,0.5,3.3,1,HarrDe07
181,419,Dennis Houston,DAL,23,WR,2,0,6,2,33.3%,16,8.0,0,0,16.7,11,2.7,1.0,8.0,0,HousDe01
182,420,Lil'Jordan Humphrey,NWE,24,WR,6,2,4,2,50.0%,20,10.0,0,0,50.0,11,5.0,0.3,3.3,0,HumpLi01
183,423,Cade Johnson,SEA,24,WR,3,0,4,2,50.0%,21,10.5,0,2,50.0,11,5.3,0.7,7.0,0,JohnCa03
184,424,Keith Kirkwood,NOR,28,WR,5,1,4,2,50.0%,18,9.0,0,1,25.0,14,4.5,0.4,3.6,0,KirkKe00
185,427,Racey McMath,TEN,23,WR,5,0,8,2,25.0%,40,20.0,0,1,12.5,39,5.0,0.4,8.0,0,McMaRa00
186,429,Dezmon Patmon,IND,24,WR,1,0,6,2,33.3%,24,12.0,0,1,33.3,17,4.0,2.0,24.0,0,PatmDe00
187,432,Braylon Sanders,MIA,23,WR,3,0,3,2,66.7%,17,8.5,0,0,33.3,13,5.7,0.7,5.7,1,SandBr00
188,436,Mike Thomas,CIN,28,WR,10,2,10,2,20.0%,38,19.0,0,1,10.0,33,3.8,0.2,3.8,0,ThomMi04
189,437,Jalen Tolbert,DAL,23,WR,8,1,3,2,66.7%,12,6.0,0,0,33.3,8,4.0,0.3,1.5,0,TolbJa00
190,438,Austin Trammell,LAR,24,WR,6,0,4,2,50.0%,13,6.5,0,1,50.0,8,3.3,0.3,2.2,0,TramAu00
191,440,Jalen Virgil,DEN,24,WR,9,1,5,2,40.0%,75,37.5,1,2,40.0,66,15.0,0.2,8.3,1,VirgJa00
