,index,Rk_x,Player_x,Tm_x,Age_x,Pos_x,G_x,GS_x,Tgt_x,Rec_x,Ctch%_x,Yds_x,Y/R_x,TD_x,1D_x,Succ%_x,Lng_x,Y/Tgt_x,R/G_x,Y/G_x,Fmb_x,Player-additional,Rk_y,Player_y,Tm_y,Age_y,Pos_y,G_y,GS_y,Tgt_y,Rec_y,Ctch%_y,Yds_y,Y/R_y,TD_y,1D_y,Succ%_y,Lng_y,Y/Tgt_y,R/G_y,Y/G_y,Fmb_y,TgtPer_2022,TgtPer_2023,TgtDiff,NewTeam
10,95,231,Kadarius Toney,2TM,23,WR,9,4,20,16,80.0%,171,10.7,2,8,55.0,38,8.6,1.8,19.0,1,ToneKa00,105,Kadarius Toney,KAN,24,WR,2,1,10,6,60.0%,36,6.0,0,3,30.0,17,3.6,3.0,18.0,1,2.22,5.0,2.78,False
11,7,10,Michael Pittman Jr.,IND,25,WR,16,16,141,99,70.2%,925,9.3,4,51,53.9,28,6.6,6.2,57.8,2,PittMi01,6,Michael Pittman Jr.,IND,26,WR,2,2,23,16,69.6%,153,9.6,1,8,52.2,39,6.7,8.0,76.5,1,8.81,11.5,2.69,True
12,25,35,Chris Olave,NOR,22,WR,15,9,119,72,60.5%,1042,14.5,4,48,53.8,53,8.8,4.8,69.5,2,OlavCh00,10,Chris Olave,NOR,23,WR,2,1,21,14,66.7%,198,14.1,0,9,61.9,45,9.4,7.0,99.0,0,7.93,10.5,2.57,True
13,98,242,Justin Watson,KAN,26,WR,17,5,34,15,44.1%,315,21.0,2,12,44.1,67,9.3,0.9,18.5,0,WatsJu01,134,Justin Watson,KAN,27,WR,2,1,9,5,55.6%,107,21.4,0,4,55.6,34,11.9,2.5,53.5,1,2.0,4.5,2.5,True
14,64,113,Josh Reynolds,DET,27,WR,14,11,59,38,64.4%,479,12.6,3,25,61.0,31,8.1,2.7,34.2,0,ReynJo00,50,Josh Reynolds,DET,28,WR,2,1,13,9,69.2%,146,16.2,2,9,69.2,33,11.2,4.5,73.0,0,4.21,6.5,2.29,True
15,102,291,River Cracraft,MIA,28,WR,11,0,14,9,64.3%,102,11.3,2,8,57.1,22,7.3,0.8,9.3,0,CracRi00,114,River Cracraft,MIA,29,WR,2,0,7,5,71.4%,74,14.8,1,5,71.4,24,10.6,2.5,37.0,0,1.27,3.5,2.23,True
16,81,156,Rashid Shaheed,NOR,24,WR,12,6,34,28,82.4%,488,17.4,2,18,70.6,68,14.4,2.3,40.7,1,ShahRa00,51,Rashid Shaheed,NOR,25,WR,2,0,10,9,90.0%,152,16.9,1,6,70.0,45,15.2,4.5,76.0,1,2.83,5.0,2.17,True
17,93,213,Braxton Berrios,NYJ,27,WR,17,2,32,18,56.3%,145,8.1,0,8,34.4,25,4.5,1.1,8.5,1,BerrBr00,111,Braxton Berrios,MIA,28,WR,2,0,8,5,62.5%,70,14.0,0,5,62.5,18,8.8,2.5,35.0,0,1.88,4.0,2.12,False
18,113,437,Jalen Tolbert,DAL,23,WR,8,1,3,2,66.7%,12,6.0,0,0,33.3,8,4.0,0.3,1.5,0,TolbJa00,194,Jalen Tolbert,DAL,24,WR,2,1,5,3,60.0%,18,6.0,0,1,60.0,7,3.6,1.5,9.0,0,0.38,2.5,2.12,True
19,45,67,Deebo Samuel,SFO,26,WR,13,12,94,56,59.6%,632,11.3,2,25,47.9,57,6.7,4.3,48.6,3,SamuDe00,4,Deebo Samuel,SFO,27,WR,3,3,28,17,60.7%,247,14.5,1,11,50.0,40,8.8,5.7,82.3,1,7.23,9.33,2.1,True
20,85,174,Nick Westbrook-Ikhine,TEN,25,WR,17,13,50,25,50.0%,397,15.9,3,18,40.0,63,7.9,1.5,23.4,0,WestNi00,83,Nick Westbrook-Ikhine,TEN,26,WR,2,1,10,7,70.0%,83,11.9,1,5,60.0,24,8.3,3.5,41.5,0,2.94,5.0,2.06,True
